"family","setting","frame","outcome","rmse","rmse_mcse","mean_bias","mean_absolute_bias","n","n_total"
"weak_factor","NN=200;a=0","aug-d-balance (individual)","gsynth",0.0585561459226021,0.00287215991236205,-0.00488472303672386,0.0476214318810975,200,200
"weak_factor","NN=200;a=0","aug-d-balance (individual)","ife",0.0583679255959405,0.00291317562237279,-0.00480271497646964,0.0474020051186743,200,200
"weak_factor","NN=200;a=0","aug-d-balance (individual)","MCPanel",0.0602026175826621,0.00262693394237922,-0.00500425414836176,0.0494378374410585,200,200
"weak_factor","NN=200;a=0","aug-d-balance (individual)","VAR",0.0895563071778166,0.0043889914620346,-3.52949765037242e-05,0.0722390709942664,200,200
"weak_factor","NN=200;a=0","aug-d-balance (residual individual)","fe",0.0626501826208568,0.00269920235510558,-0.00456077457179064,0.0518097819685413,200,200
"weak_factor","NN=200;a=0","aug-d-balance (residual individual)","gsynth",0.0569946834234534,0.0029591480519374,-0.00490640969841005,0.0456833032678701,200,200
"weak_factor","NN=200;a=0","aug-d-balance (residual individual)","ife",0.0570477295112831,0.00303637963664797,-0.00481365766284916,0.045550076622078,200,200
"weak_factor","NN=200;a=0","aug-d-balance (residual individual)","MCPanel",0.0699972521283131,0.00324381324399634,-0.00443855835951582,0.0566849211117459,200,200
"weak_factor","NN=200;a=0","aug-d-balance (residual individual)","VAR",0.0992230269887672,0.00512584211014416,-0.00144609026669899,0.0793411512765516,200,200
"weak_factor","NN=200;a=0","aug-d-balance (residual)","fe",0.0659996458131436,0.00293350645781387,-0.00515906907031927,0.0542315305122749,200,200
"weak_factor","NN=200;a=0","aug-d-balance (residual)","gsynth",0.057410103361843,0.00291427493586447,-0.00524735245215453,0.0465164443971253,200,200
"weak_factor","NN=200;a=0","aug-d-balance (residual)","ife",0.0573823290014445,0.00300537512912472,-0.00513883256229274,0.0463557302452236,200,200
"weak_factor","NN=200;a=0","aug-d-balance (residual)","MCPanel",0.0677185833273876,0.00304182487352199,-0.004286611119408,0.0547642686044701,200,200
"weak_factor","NN=200;a=0","aug-d-balance (residual)","VAR",0.0997505590627044,0.00508661957587923,-0.00193288038913538,0.0801393351632191,200,200
"weak_factor","NN=200;a=0","d-balance","fe",0.0660381734074998,0.00293640679655134,-0.00515504573077188,0.0542599301661574,200,200
"weak_factor","NN=200;a=0","d-balance","gsynth",0.0660381734074998,0.00293640679655134,-0.00515504573077188,0.0542599301661574,200,200
"weak_factor","NN=200;a=0","d-balance","ife",0.0660381734074998,0.00293640679655134,-0.00515504573077188,0.0542599301661574,200,200
"weak_factor","NN=200;a=0","d-balance","MCPanel",0.0660381734074998,0.00293640679655134,-0.00515504573077188,0.0542599301661574,200,200
"weak_factor","NN=200;a=0","d-balance","VAR",0.0660381734074998,0.00293640679655134,-0.00515504573077188,0.0542599301661574,200,200
"weak_factor","NN=200;a=0","outcome","fe",0.149545343563165,0.00738219460659612,-0.00184461663841478,0.118638128173633,200,200
"weak_factor","NN=200;a=0","outcome","gsynth",0.0571448567508572,0.00293669915768382,-0.0053182959105954,0.0461351064813663,200,200
"weak_factor","NN=200;a=0","outcome","ife",0.0571917221149923,0.00302437240008951,-0.00514864339041647,0.0460372982547461,200,200
"weak_factor","NN=200;a=0","outcome","MCPanel",0.0740777511868301,0.003440244529473,-0.0050129461269514,0.0601371598062331,200,200
"weak_factor","NN=200;a=0","outcome","VAR",0.119766206855263,0.00607388934736149,0.00109134411244113,0.0961170484812876,200,200
"weak_factor","NN=200;a=0","u-balance","fe",0.078536959743601,0.00371576588781943,-0.00548205750467625,0.0634202490589429,200,200
"weak_factor","NN=200;a=0","u-balance","gsynth",0.078536959743601,0.00371576588781943,-0.00548205750467625,0.0634202490589429,200,200
"weak_factor","NN=200;a=0","u-balance","ife",0.078536959743601,0.00371576588781943,-0.00548205750467625,0.0634202490589429,200,200
"weak_factor","NN=200;a=0","u-balance","MCPanel",0.078536959743601,0.00371576588781943,-0.00548205750467625,0.0634202490589429,200,200
"weak_factor","NN=200;a=0","u-balance","VAR",0.078536959743601,0.00371576588781943,-0.00548205750467625,0.0634202490589429,200,200
"weak_factor","NN=200;a=1","aug-d-balance","fe",1.07904984162333,0.0184060639449783,1.0473181754582,1.0473181754582,200,200
"weak_factor","NN=200;a=1","aug-d-balance","gsynth",0.234339853933961,0.0110756801223211,0.137056412613241,0.190214438211512,200,200
"weak_factor","NN=200;a=1","aug-d-balance","ife",0.189459979678951,0.00846242978654251,0.0631756445889975,0.157281501228798,200,200
"weak_factor","NN=200;a=1","aug-d-balance","MCPanel",1.39580356331456,0.0125903205399524,1.38446155404231,1.38446155404231,200,200
"weak_factor","NN=200;a=1","aug-d-balance","VAR",1.00660441746816,0.0180816853157934,-0.975963820888468,0.975963820888468,200,200
"weak_factor","NN=200;a=1","aug-d-balance (individual)","fe",1.05083732397571,0.0188925611964301,1.01618633404086,1.01618633404086,200,200
"weak_factor","NN=200;a=1","aug-d-balance (individual)","gsynth",0.237238088935242,0.011019692062706,0.138885131133391,0.193743646965785,200,200
"weak_factor","NN=200;a=1","aug-d-balance (individual)","ife",0.206111431047623,0.00965792983273169,0.079792508318369,0.168735750277878,200,200
"weak_factor","NN=200;a=1","aug-d-balance (individual)","MCPanel",1.33941427819452,0.0130440942829785,1.32671008858468,1.32671008858468,200,200
"weak_factor","NN=200;a=1","aug-d-balance (individual)","VAR",0.93521189772434,0.0178717486218301,-0.902740467606131,0.902740467606131,200,200
"weak_factor","NN=200;a=1","aug-d-balance (residual individual)","fe",1.04999580429413,0.0189444494888036,1.01510689008578,1.01510689008578,200,200
"weak_factor","NN=200;a=1","aug-d-balance (residual individual)","gsynth",0.181808206568306,0.00794181833690197,0.05363541356289,0.153771147048947,200,200
"weak_factor","NN=200;a=1","aug-d-balance (residual individual)","ife",0.177298127203497,0.00792481789417307,0.00575603022544048,0.148535057330067,200,200
"weak_factor","NN=200;a=1","aug-d-balance (residual individual)","MCPanel",1.75663089728121,0.0115783418493306,1.74892812899161,1.74892812899161,200,200
"weak_factor","NN=200;a=1","aug-d-balance (residual individual)","VAR",0.520772159227641,0.0172340398415979,-0.467979791174295,0.472319454482306,200,200
"weak_factor","NN=200;a=1","aug-d-balance (residual)","fe",1.07745497191052,0.0184180308942264,1.04565175763912,1.04565175763912,200,200
"weak_factor","NN=200;a=1","aug-d-balance (residual)","gsynth",0.183116389949355,0.00797322881253377,0.0571696825945203,0.154441270980856,200,200
"weak_factor","NN=200;a=1","aug-d-balance (residual)","ife",0.177503591526854,0.00795785729179176,0.00590688470230554,0.148526907011917,200,200
"weak_factor","NN=200;a=1","aug-d-balance (residual)","MCPanel",1.6509740407886,0.0114353521103106,1.64305384245448,1.64305384245448,200,200
"weak_factor","NN=200;a=1","aug-d-balance (residual)","VAR",0.349755184412361,0.0156900989203634,-0.277650303323881,0.289336619564223,200,200
"weak_factor","NN=200;a=1","d-balance","fe",1.07904984162212,0.0184060639451789,1.04731817545645,1.04731817545645,200,200
"weak_factor","NN=200;a=1","d-balance","gsynth",1.07904984162212,0.0184060639451789,1.04731817545645,1.04731817545645,200,200
"weak_factor","NN=200;a=1","d-balance","ife",1.07904984162212,0.0184060639451789,1.04731817545645,1.04731817545645,200,200
"weak_factor","NN=200;a=1","d-balance","MCPanel",1.07904984162212,0.0184060639451789,1.04731817545645,1.04731817545645,200,200
"weak_factor","NN=200;a=1","d-balance","VAR",1.07904984162212,0.0184060639451789,1.04731817545645,1.04731817545645,200,200
"weak_factor","NN=200;a=1","outcome","fe",2.5979955908626,0.0114153497662254,2.5930233337733,2.5930233337733,200,200
"weak_factor","NN=200;a=1","outcome","gsynth",0.181144178047347,0.00798210575427565,0.0560706886313126,0.152464994105093,200,200
