"model","unit","period","counterfactual"
"MCPanel",7,4,1.36238301956834
"MCPanel",7,5,1.61088065794679
"MCPanel",7,6,1.9940311557802
"MCPanel",7,7,2.30660189748048
"MCPanel",7,8,2.40214810851961
"MCPanel",7,9,2.39196082554778
"MCPanel",8,0,0.232190510243084
"MCPanel",8,1,0.171664373706834
"MCPanel",8,2,0.423657973251745
"MCPanel",8,3,0.841669557747816
"MCPanel",8,4,1.71751810064218
"MCPanel",8,5,2.5639414539287
"MCPanel",8,6,3.40150545105935
"MCPanel",8,7,2.50859410825193
"MCPanel",8,8,2.17700513853988
"MCPanel",8,9,1.51962230373182
"MCPanel",9,0,0.485653898327967
"MCPanel",9,1,0.645483435442143
"MCPanel",9,2,0.782884899569852
"MCPanel",9,3,1.31236039125158
"MCPanel",9,4,2.09208744284631
"MCPanel",9,5,3.07113720653838
"MCPanel",9,6,4.04349677156726
"MCPanel",9,7,3.06712249668785
"MCPanel",9,8,2.64991251297962
"MCPanel",9,9,2.11710768086182
"MCPanel",10,0,1.21345389729185
"MCPanel",10,1,1.74442068048234
"MCPanel",10,2,2.00563996103209
"MCPanel",10,3,2.13397330125782
"MCPanel",10,4,2.47254251220268
"MCPanel",10,5,3.1454599448175
"MCPanel",10,6,3.93875777991554
"MCPanel",10,7,3.03596060397377
"MCPanel",10,8,3.00290932845144
"MCPanel",10,9,2.85420986428794
"MCPanel",11,0,2.0263461692284
"MCPanel",11,1,2.77597141665721
"MCPanel",11,2,3.00179388940479
"MCPanel",11,3,2.92573201812052
"MCPanel",11,4,2.91826329453275
"MCPanel",11,5,3.25502530589359
"MCPanel",11,6,3.79408725157394
"MCPanel",11,7,3.13359366807728
"MCPanel",11,8,3.31234404710607
"MCPanel",11,9,3.51323601413459
"gsynth",0,0,-1.0197567166378
"gsynth",0,1,-1.1262666350228
"gsynth",0,2,-1.07466840587532
"gsynth",0,3,-1.20713381566242
"gsynth",0,4,-1.74284290067309
"gsynth",0,5,-2.51695745661734
"gsynth",0,6,-3.25656491810091
"gsynth",0,7,-3.68695563207628
"gsynth",0,8,-3.53858187119964
"gsynth",0,9,-3.09975717213724
"gsynth",1,0,-1.34251401478824
"gsynth",1,1,-1.70731676044361
"gsynth",1,2,-1.6384983869494
"gsynth",1,3,-1.38315418282498
"gsynth",1,4,-1.2577163056581
"gsynth",1,5,-1.46725449121594
"gsynth",1,6,-1.69824087312197
"gsynth",1,7,-2.04419588186663
"gsynth",1,8,-2.18793753670432
"gsynth",1,9,-2.29667447994416
"gsynth",2,0,-1.4291353384338
"gsynth",2,1,-1.94247696637505
"gsynth",2,2,-1.85913042480504
"gsynth",2,3,-1.34959057462331
"gsynth",2,4,-0.784030097939203
"gsynth",2,5,-0.60732753564561
"gsynth",2,6,-0.481990792803583
